This is your log file!
INFO:2018-04-12 13:32:43,754:  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
INFO:2018-04-12 13:32:43,755:  * Restarting with stat
WARNING:2018-04-12 13:32:44,030:  * Debugger is active!
INFO:2018-04-12 13:32:44,051:  * Debugger PIN: 237-097-025
INFO:2018-04-12 13:32:49,830: 127.0.0.1 - - [12/Apr/2018 13:32:49] "GET /postlogs HTTP/1.1" 200 -
INFO:2018-04-12 13:33:21,424:  * Detected change in '/Users/zyoosun/Documents/WorkProjects/customStore/app.py', reloading
INFO:2018-04-12 13:33:21,455:  * Restarting with stat
WARNING:2018-04-12 13:33:21,753:  * Debugger is active!
INFO:2018-04-12 13:33:21,768:  * Debugger PIN: 237-097-025
INFO:2018-04-12 13:33:30,860:  * Detected change in '/Users/zyoosun/Documents/WorkProjects/customStore/app.py', reloading
INFO:2018-04-12 13:33:30,892:  * Restarting with stat
